id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho việc xử lý và khắc phục. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All claims in the answer are directly supported by the context provided.,5,Directly answers the question with all relevant details regarding the SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,5,Complete,variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,All claims in the answer are directly supported by the context provided.,5,Directly answers the question with complete information about the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,Complete,variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"The answer incorrectly states that Level 3 access requires approval from Line Manager, IT Admin, and IT Security, while the context does not specify the approval process for Level 3.",5,Directly answers the question with all necessary details regarding the approval process for Level 3 access.,5,Retrieved: 1/1 expected sources,5,Complete,variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, theo ngoại lệ không được hoàn tiền: ""Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)"" [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"All claims in the answer are directly supported by the context, specifically regarding the refund policy for digital products.",5,Directly answers the question and provides a clear explanation regarding the refund policy for digital products.,5,Retrieved: 1/1 expected sources,5,Complete,variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,4,"The answer is mostly grounded in the context, but it adds the option to reset via the portal SSO, which is not explicitly mentioned in the retrieved context.",5,Directly answers the question with complete information about the number of failed login attempts and the process to unlock the account.,5,Retrieved: 1/1 expected sources,5,Complete,variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. Nếu không có phản hồi trong 10 phút, ticket P1 sẽ tự động escalate lên Senior Engineer.
2. Phản hồi ban đầu phải được thực hiện trong 15 phút và xử lý, khắc phục trong 4 giờ [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"All claims in the answer are directly supported by the context provided, accurately reflecting the escalation process for P1 incidents.",4,The answer correctly explains the escalation process for P1 incidents but could provide more context or details about the overall escalation procedure.,5,Retrieved: 1/1 expected sources,4,Complete,variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu quy định quy trình cấp quyền hệ thống là ""Access Control SOP"" (Standard Operating Procedure) [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,The answer mentions 'Access Control SOP' which is not explicitly stated in the context provided. The context discusses a process for granting access but does not refer to it as a SOP.,4,The answer correctly identifies the document related to the approval matrix for system access but could provide more context or details about the document.,5,Retrieved: 1/1 expected sources,3,"Missing: original name 'Approval Matrix for System Access', current name change context",variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal. Ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch team [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,All claims in the answer are directly supported by the context provided.,5,Directly answers the question with all relevant details regarding the remote work policy.,5,Retrieved: 1/1 expected sources,5,Complete,variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền hợp lệ để thực hiện một hành động nào đó. Cách xử lý có thể bao gồm việc kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, như tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"All claims in the answer are directly supported by the context, specifically the process for handling access requests and the definition of the ERR-403-AUTH error.",4,"The answer correctly explains what ERR-403-AUTH is and provides a method for resolution, but could include more details about the error's context or additional troubleshooting steps.",,No expected sources,3,"Missing: no information about ERR-403-AUTH in existing documentation, suggestion to contact IT Helpdesk",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào trong bối cảnh về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately reflects the lack of specific information regarding an emergency refund process for VIP customers in the provided context.,2,The answer acknowledges a lack of information but does not address the core question about whether the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,2,"Missing: no mention of the policy not specifying a special process for VIP customers, standard process duration of 3-5 business days",variant_hybrid
